BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSHP,1,1,1,1,1,1,0,0,1,1,1,1,0,0,10.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSPERCHP,1,0,1,1,1,1,0,0,1,1,1,0,0,0,8.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSEST,1,1,0,1,1,1,0,0,1,1,1,0,0,0,8.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSESTDIRECT,1,1,1,1,1,1,0,0,1,1,1,1,0,0,10.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,WAIT,1,0,0,1,1,1,0,0,1,1,1,1,0,0,8.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSBUIL,1,0,0,1,1,1,0,0,1,1,1,0,0,0,7.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSHP,1,0,1,1,1,1,0,0,1,1,1,1,0,0,9.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSPERCHP,1,0,1,1,1,1,0,0,1,1,1,1,0,0,9.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSEST,1,0,1,1,1,1,0,0,1,1,1,1,0,0,9.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSESTDIRECT,1,0,1,1,1,1,0,0,1,1,1,0,0,0,8.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,WAIT,1,1,1,1,1,1,0,0,1,1,1,1,0,0,10.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSBUIL,1,0,1,1,1,1,0,0,1,1,1,1,0,0,9.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSHP,1,1,1,1,1,1,0,0,1,1,1,1,0,0,10.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSPERCHP,1,1,1,1,1,1,0,0,1,1,1,0,0,0,9.0
