BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,51
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,61
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,55
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,47
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,55
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,52
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,48
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,59
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,65
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,49
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,LESSHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,LESSPERCHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,45
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,CLOSEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,CLOSESTDIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,59
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,LESSHP,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,100.0,0.0,0.0,589
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,LESSPERCHP,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,100.0,0.0,0.0,582
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,CLOSEST,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,100.0,0.0,0.0,586
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,CLOSESTDIRECT,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,100.0,0.0,0.0,586
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,LESSHP,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,100.0,0.0,0.0,584
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,LESSPERCHP,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,100.0,0.0,0.0,582
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,CLOSEST,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,100.0,0.0,0.0,577
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,CLOSESTDIRECT,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,100.0,0.0,0.0,586
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,LESSHP,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,100.0,0.0,0.0,583
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,LESSPERCHP,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,100.0,0.0,0.0,584
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,CLOSEST,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,100.0,0.0,0.0,589
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,CLOSESTDIRECT,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,100.0,0.0,0.0,584
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,61.0,100.0,100.0,100.0,0.0,0.0,1061
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,LESSPERCHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,72.0,100.0,100.0,100.0,0.0,0.0,1072
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,CLOSEST,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,0.0,0.0,1075
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,CLOSESTDIRECT,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,69.0,100.0,100.0,100.0,0.0,0.0,1069
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,LESSHP,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,78.0,100.0,100.0,100.0,0.0,0.0,1078
