BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1100.0,950.0,950.0,-450.0,380.0,520.0,6460.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSPERCHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1100.0,950.0,950.0,-410.0,380.0,520.0,6500.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSEST,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1170.0,950.0,950.0,-410.0,380.0,520.0,6570.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSESTDIRECT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1200.0,950.0,950.0,-410.0,380.0,520.0,6600.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,WAIT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1120.0,950.0,950.0,-450.0,380.0,520.0,6480.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSBUIL,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1150.0,950.0,950.0,-370.0,380.0,520.0,6590.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1120.0,950.0,950.0,-410.0,380.0,520.0,6520.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSPERCHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1160.0,950.0,950.0,-410.0,380.0,520.0,6560.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSEST,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1110.0,950.0,950.0,-410.0,380.0,520.0,6510.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSESTDIRECT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1030.0,950.0,950.0,-410.0,380.0,520.0,6430.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,WAIT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1140.0,950.0,950.0,-410.0,380.0,520.0,6540.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSBUIL,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1160.0,950.0,950.0,-450.0,380.0,520.0,6520.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1130.0,950.0,950.0,-410.0,380.0,520.0,6530.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSPERCHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1020.0,950.0,950.0,-410.0,380.0,520.0,6420.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,CLOSEST,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1170.0,950.0,950.0,-410.0,380.0,520.0,6570.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,CLOSESTDIRECT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1100.0,950.0,950.0,-410.0,380.0,520.0,6500.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,WAIT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1170.0,950.0,950.0,-410.0,380.0,520.0,6570.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,CLOSBUIL,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,520.0,950.0,950.0,-410.0,380.0,520.0,5920.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,LESSHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1090.0,950.0,950.0,-410.0,380.0,520.0,6490.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,LESSPERCHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1100.0,950.0,950.0,-450.0,380.0,520.0,6460.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,CLOSEST,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1000.0,950.0,950.0,-410.0,380.0,520.0,6400.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,CLOSESTDIRECT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1130.0,950.0,950.0,-410.0,380.0,520.0,6530.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,WAIT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1110.0,950.0,950.0,-410.0,380.0,520.0,6510.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,CLOSBUIL,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1140.0,950.0,950.0,-410.0,380.0,520.0,6540.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,LESSHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1140.0,950.0,950.0,-410.0,380.0,520.0,6540.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,LESSPERCHP,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1140.0,950.0,950.0,-410.0,380.0,520.0,6540.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,CLOSEST,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1120.0,950.0,950.0,-450.0,380.0,520.0,6480.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,CLOSESTDIRECT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1070.0,950.0,950.0,-410.0,380.0,520.0,6470.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,WAIT,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1130.0,950.0,950.0,-410.0,380.0,520.0,6530.0
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,CLOSBUIL,1060.0,770.0,-80.0,1060.0,120.0,120.0,0.0,-40.0,1150.0,950.0,950.0,-410.0,380.0,520.0,6550.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,LESSHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1100.0,910.0,910.0,-410.0,380.0,520.0,6650.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,LESSPERCHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1150.0,910.0,910.0,-410.0,380.0,520.0,6700.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,CLOSEST,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,1120.0,910.0,910.0,-410.0,380.0,520.0,6670.0
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,CLOSESTDIRECT,1110.0,900.0,-80.0,1110.0,120.0,120.0,0.0,-40.0,900.0,910.0,910.0,-410.0,380.0,520.0,6450.0
